,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j,mean
rolling_mean,0.068,0.067,0.069,0.069,0.068,0.081,0.115,0.065,0.08,0.069,0.0751574530523489
knn,0.056,0.053,0.091,0.06,0.054,0.053,0.054,0.06,0.052,0.055,0.05884677353896104
spline,0.134,0.159,0.091,0.133,0.13,0.12,0.711,0.393,0.133,0.171,0.21803813948011863
rolling,0.064,0.069,0.062,0.071,0.073,0.072,0.061,0.071,0.065,0.076,0.06832580337101171
nocf,0.121,0.103,0.059,0.105,0.11,0.106,0.132,0.142,0.112,0.112,0.11017430104617607
mean,0.058,0.059,0.055,0.058,0.059,0.067,0.068,0.065,0.063,0.067,0.06184584691157608
median,0.059,0.06,0.056,0.059,0.06,0.069,0.068,0.067,0.064,0.068,0.06294687505010423
hybrid,0.048,0.043,0.078,0.05,0.045,0.047,0.044,0.053,0.044,0.044,0.04966351180455346
seasonal,0.059,0.059,0.066,0.057,0.058,0.067,0.067,0.065,0.063,0.063,0.06239265677609426
miss_forest,0.043,0.042,0.068,0.047,0.043,0.044,0.042,0.05,0.042,0.042,0.046348607453503284
